,id_cliente,cancelacion,genero,adulto_mayor,tiene_pareja,tiene_dependientes,antiguedad,servicio_de_telefono,lineas_multiples,servicio_internet,seguridad_en_linea,respaldo_en_linea,proteccion_dispositivo,soporte_tecnico,streaming_tv,streaming_peliculas,periodicidad_de_contrato,factura_electronica,forma_de_pago,cargos_mensuales,cargos_totales,cargos_diarios
23,0030-FNXPP,0,Femenino,0,0,0,3,1,0,No,2,2,2,2,2,2,Mensual,0,Cheque,19.85,57.2,0.6521024967148489
24,0031-PVLZI,1,Femenino,0,1,1,4,1,0,No,2,2,2,2,2,2,Mensual,0,Cheque,20.35,76.35,0.6685282522996058
25,0032-PGELS,1,Femenino,0,1,1,1,0,2,DSL,1,0,0,0,0,0,Mensual,0,Tranferencia electrónica,30.5,30.5,1.0019710906701709
26,0036-IHMOT,0,Femenino,0,1,1,55,1,0,Fibra óptica,0,1,1,1,1,1,Anual,1,Tranferencia electrónica,103.7,5656.75,3.4067017082785807
27,0040-HALCW,0,Masculino,0,1,1,54,1,0,No,2,2,2,2,2,2,Bienal,0,TDC,20.4,1090.6,0.6701708278580814
28,0042-JVWOJ,0,Masculino,0,0,0,26,1,0,No,2,2,2,2,2,2,Anual,1,Tranferencia electrónica,19.6,471.85,0.6438896189224704
29,0042-RLHYP,0,Femenino,0,1,1,69,1,0,No,2,2,2,2,2,2,Bienal,0,Tranferencia electrónica,19.7,1396.9,0.6471747700394218
31,0048-LUMLS,0,Masculino,0,1,1,37,1,0,Fibra óptica,0,0,0,0,1,1,Anual,0,TDC,91.2,3247.55,2.9960578186596583
32,0048-PIHNL,0,Femenino,0,1,0,49,1,0,No,2,2,2,2,2,2,Anual,0,Tranferencia electrónica,20.45,900.9,0.6718134034165572
33,0052-DCKON,0,Masculino,0,1,0,66,1,1,Fibra óptica,1,1,1,1,1,1,Anual,0,Tranferencia electrónica,115.8,7942.15,3.8042049934296975
34,0052-YNYOT,0,Femenino,0,0,0,67,1,0,No,2,2,2,2,2,2,Anual,0,Cheque electrónico,20.55,1343.4,0.6750985545335085
35,0056-EPFBG,0,Masculino,0,1,1,20,0,2,DSL,1,0,1,1,0,0,Bienal,1,TDC,39.4,825.4,1.2943495400788436
36,0057-QBUQH,0,Femenino,0,0,1,43,1,1,No,2,2,2,2,2,2,Bienal,1,Cheque electrónico,25.1,1070.15,0.8245729303547963
37,0058-EVZWM,0,Femenino,0,1,0,55,1,1,Fibra óptica,1,0,0,0,1,0,Mensual,1,Tranferencia electrónica,89.8,4959.6,2.950065703022339
38,0060-FUALY,0,Femenino,0,1,0,59,1,1,Fibra óptica,1,1,0,0,1,0,Mensual,1,Cheque electrónico,94.75,5597.65,3.112680683311432
39,0064-SUDOG,0,Femenino,0,1,1,12,1,0,No,2,2,2,2,2,2,Bienal,0,Tranferencia electrónica,20.3,224.5,0.6668856767411301
40,0064-YIJGF,0,Masculino,0,1,1,27,1,1,Fibra óptica,0,0,0,0,0,0,Mensual,1,Tranferencia electrónica,75.75,1929.0,2.48850197109067
41,0067-DKWBL,1,Masculino,1,0,0,2,1,0,DSL,1,0,0,0,0,0,Mensual,1,Cheque electrónico,49.25,91.1,1.6179369250985545
42,0068-FIGTF,0,Femenino,0,0,0,27,1,0,DSL,0,1,1,1,1,1,Anual,0,Cheque,78.2,2078.95,2.568988173455979
43,0071-NDAFP,0,Masculino,0,1,1,25,1,1,No,2,2,2,2,2,2,Bienal,0,TDC,25.5,630.6,0.8377135348226018
44,0074-HDKDG,0,Masculino,0,1,1,25,1,0,DSL,1,1,1,0,0,0,Anual,1,Tranferencia electrónica,61.6,1611.0,2.02365308804205
45,0076-LVEPS,0,Masculino,0,0,1,29,0,2,DSL,1,1,1,1,0,0,Mensual,1,Cheque,45.0,1242.45,1.4783180026281209
46,0078-XZMHT,0,Masculino,0,1,0,72,1,1,DSL,0,1,1,1,1,1,Bienal,1,Tranferencia electrónica,85.15,6316.2,2.7973061760841
47,0080-EMYVY,0,Femenino,0,0,0,14,1,0,DSL,0,1,0,0,0,0,Anual,0,TDC,51.45,727.85,1.6902102496714848
48,0080-OROZO,0,Femenino,0,0,0,35,1,0,Fibra óptica,0,0,1,1,1,1,Anual,1,Cheque electrónico,99.25,3532.0,3.260512483574244
49,0082-LDZUE,0,Masculino,0,0,0,1,1,0,DSL,0,0,0,0,0,0,Mensual,1,Cheque,44.3,44.3,1.455321944809461
50,0082-OQIQY,0,Masculino,0,0,0,29,1,0,Fibra óptica,0,0,0,1,1,1,Mensual,1,Cheque electrónico,94.2,2607.6,3.0946123521681996
51,0083-PIVIK,0,Masculino,0,0,0,64,1,1,DSL,1,1,1,1,1,0,Anual,0,Cheque electrónico,81.25,5567.55,2.669185282522996
52,0089-IIQKO,0,Femenino,0,1,1,39,1,1,Fibra óptica,0,0,0,1,1,1,Mensual,1,TDC,99.95,3767.4,3.283508541392904
53,0093-EXYQL,0,Femenino,1,0,0,40,1,0,Fibra óptica,0,0,0,0,1,1,Mensual,1,Cheque electrónico,91.55,3673.6,3.007555847568988
54,0093-XWZFY,1,Masculino,0,0,0,40,1,1,Fibra óptica,0,1,1,0,1,1,Mensual,1,TDC,104.5,4036.85,3.4329829172141917
55,0094-OIFMO,1,Femenino,1,0,0,11,1,0,Fibra óptica,0,1,0,0,1,1,Mensual,1,Cheque electrónico,95.0,1120.3,3.1208935611038107
56,0096-BXERS,0,Femenino,0,1,0,6,1,1,DSL,0,0,0,0,0,0,Mensual,0,Cheque electrónico,50.35,314.55,1.6540735873850196
57,0096-FCPUF,0,Masculino,0,0,0,30,1,1,DSL,1,0,0,0,0,1,Mensual,1,Cheque,64.5,1888.45,2.11892247043364
58,0098-BOWSO,0,Masculino,0,0,0,27,1,0,No,2,2,2,2,2,2,Mensual,1,Cheque electrónico,19.4,529.8,0.6373193166885676
59,0100-DUVFC,0,Masculino,1,1,0,70,1,1,Fibra óptica,0,1,1,0,1,1,Anual,1,Cheque electrónico,104.8,7308.95,3.442838370565046
60,0103-CSITQ,0,Femenino,0,1,0,57,1,1,Fibra óptica,0,1,1,1,1,1,Anual,1,Tranferencia electrónica,109.4,6252.7,3.5939553219448097
61,0104-PPXDV,0,Masculino,0,1,0,58,1,0,DSL,0,0,1,0,0,0,Anual,0,TDC,50.3,2878.55,1.652431011826544
62,0106-GHRQR,0,Masculino,0,0,0,16,1,1,DSL,0,1,1,0,0,1,Mensual,1,Tranferencia electrónica,71.4,1212.1,2.345597897503285
63,0106-UGRDO,0,Femenino,0,1,0,69,1,1,Fibra óptica,1,1,1,1,1,1,Bienal,1,Cheque electrónico,116.0,8182.85,3.8107752956636003
64,0107-WESLM,1,Masculino,0,0,0,1,1,0,No,2,2,2,2,2,2,Mensual,1,Cheque electrónico,19.85,19.85,0.6521024967148489
65,0107-YHINA,1,Masculino,0,0,1,1,1,1,Fibra óptica,0,0,1,0,1,1,Mensual,1,Cheque electrónico,99.75,99.75,3.2769382391590014
66,0111-KLBQG,0,Masculino,1,1,1,32,1,0,Fibra óptica,0,1,0,0,1,1,Mensual,1,Cheque,93.95,2861.45,3.0863994743758214
67,0112-QAWRZ,0,Masculino,0,1,1,16,1,1,Fibra óptica,0,0,1,0,1,0,Mensual,1,Tranferencia electrónica,90.8,1442.2,2.9829172141918527
68,0112-QWPNC,1,Masculino,0,1,0,49,1,1,DSL,1,0,1,1,1,1,Anual,0,Cheque electrónico,84.35,4059.35,2.7710249671484886
69,0114-IGABW,0,Femenino,0,1,0,71,0,2,DSL,0,1,1,1,1,1,Bienal,0,Tranferencia electrónica,58.25,4145.9,1.9136005256241786
70,0114-PEGZZ,0,Femenino,0,0,0,33,1,1,Fibra óptica,0,1,1,0,1,1,Mensual,0,Cheque electrónico,107.55,3645.5,3.5331800262812085
71,0114-RSRRW,0,Femenino,0,1,0,10,1,0,No,2,2,2,2,2,2,Mensual,1,Tranferencia electrónica,19.95,187.75,0.6553876478318003
72,0115-TFERT,1,Masculino,0,1,0,21,1,1,Fibra óptica,0,1,1,1,1,1,Mensual,1,Cheque electrónico,111.2,2317.1,3.653088042049934
73,0117-LFRMW,1,Masculino,0,1,1,37,0,2,DSL,1,1,1,0,0,0,Mensual,0,Tranferencia electrónica,40.2,1448.8,1.3206307490144547
74,0118-JPNOY,0,Femenino,1,0,0,26,1,0,Fibra óptica,1,0,0,0,1,0,Mensual,1,TDC,85.8,2193.65,2.818659658344284
76,0121-SNYRK,0,Masculino,0,0,0,50,0,2,DSL,1,0,0,1,0,0,Anual,1,Cheque,35.4,1748.9,1.1629434954007885
77,0122-OAHPZ,1,Femenino,0,0,0,7,1,1,Fibra óptica,0,0,0,0,0,0,Mensual,1,Cheque electrónico,73.85,511.25,2.4260840998685937
78,0123-CRBRT,0,Femenino,0,1,1,61,1,1,DSL,1,1,1,1,1,1,Bienal,0,Cheque,88.1,5526.75,2.894218134034165
79,0125-LZQXK,1,Masculino,0,0,0,15,1,0,Fibra óptica,0,0,1,1,1,1,Mensual,1,Cheque electrónico,101.35,1553.95,3.329500657030223
80,0128-MKWSG,0,Femenino,0,0,1,26,0,2,DSL,1,0,0,1,0,1,Mensual,0,Cheque,45.8,1147.0,1.5045992115637317
81,0129-KPTWJ,0,Masculino,0,1,0,72,1,0,Fibra óptica,0,0,1,0,1,1,Mensual,1,Cheque electrónico,94.65,6747.35,3.109395532194481
82,0129-QMPDR,0,Masculino,0,1,1,44,1,0,No,2,2,2,2,2,2,Anual,1,Tranferencia electrónica,20.5,865.05,0.6734559789750328
83,0130-SXOUN,0,Masculino,0,0,0,66,1,1,Fibra óptica,0,1,0,0,0,1,Mensual,0,TDC,89.4,5976.9,2.9369250985545334
84,0133-BMFZO,1,Femenino,0,0,0,2,1,0,Fibra óptica,1,1,0,1,0,0,Mensual,1,Cheque electrónico,86.25,181.65,2.8334428383705648
85,0134-XWXCE,0,Femenino,1,0,0,44,1,0,DSL,0,0,1,1,1,1,Anual,0,Tranferencia electrónica,74.85,3268.05,2.4589356110381075
86,0135-NMXAP,1,Femenino,0,0,0,12,1,1,Fibra óptica,0,1,0,0,1,0,Mensual,1,Tranferencia electrónica,89.75,1052.4,2.948423127463863
87,0136-IFMYD,0,Masculino,1,1,0,69,1,1,Fibra óptica,0,1,1,1,1,1,Bienal,1,Cheque electrónico,109.95,7634.25,3.612023653088042
88,0137-OCGAB,1,Femenino,0,0,0,1,1,1,Fibra óptica,0,1,0,0,0,0,Mensual,1,Cheque,80.2,80.2,2.6346911957950065
89,0137-UDEUO,1,Femenino,0,0,0,3,1,0,No,2,2,2,2,2,2,Mensual,0,Cheque,19.85,63.75,0.6521024967148489
90,0139-IVFJG,0,Femenino,0,1,0,2,1,0,Fibra óptica,1,1,0,0,1,0,Mensual,0,Cheque electrónico,90.35,190.5,2.9681340341655713
91,0141-YEAYS,0,Femenino,1,0,0,27,1,1,Fibra óptica,0,1,1,0,0,0,Mensual,1,Tranferencia electrónica,86.45,2401.05,2.840013140604468
92,0142-GVYSN,0,Masculino,0,0,0,26,1,0,No,2,2,2,2,2,2,Mensual,1,Cheque electrónico,20.3,511.25,0.6668856767411301
93,0147-ESWWR,0,Femenino,1,1,0,39,1,1,Fibra óptica,0,0,0,1,1,1,Mensual,1,Cheque electrónico,101.25,3949.15,3.326215505913272
94,0148-DCDOS,1,Masculino,0,0,0,25,1,1,Fibra óptica,0,0,0,0,1,1,Mensual,1,Tranferencia electrónica,94.7,2362.1,3.1110381077529565
95,0151-ONTOV,1,Femenino,0,0,0,1,1,0,Fibra óptica,0,0,0,0,0,0,Mensual,0,Cheque,70.9,70.9,2.3291721419185283
97,0156-FVPTA,1,Masculino,0,1,0,22,1,0,DSL,1,0,0,1,0,0,Mensual,1,Cheque electrónico,54.2,1152.7,1.780551905387648
99,0164-APGRB,0,Femenino,0,0,0,72,1,1,Fibra óptica,1,1,1,1,1,1,Bienal,1,Cheque electrónico,114.9,8496.7,3.7746386333771356
100,0164-XAIRP,0,Femenino,0,0,0,24,1,0,No,2,2,2,2,2,2,Bienal,1,Tranferencia electrónica,19.55,470.2,0.6422470433639947
101,0168-XZKBB,0,Femenino,0,1,0,19,1,1,Fibra óptica,0,0,0,0,1,0,Mensual,1,Cheque electrónico,86.85,1564.4,2.853153745072273
102,0174-QRVVY,0,Masculino,0,1,1,71,1,1,No,2,2,2,2,2,2,Bienal,0,TDC,25.35,1847.55,0.8327858081471747
103,0177-PXBAT,0,Masculino,1,1,0,33,1,1,Fibra óptica,1,0,1,1,1,1,Mensual,1,Tranferencia electrónica,109.9,3694.7,3.6103810775295666
104,0178-CIIKR,0,Femenino,0,0,0,3,1,0,No,2,2,2,2,2,2,Mensual,0,Cheque,19.95,58.0,0.6553876478318003
105,0178-SZBHO,0,Masculino,0,1,1,47,1,1,Fibra óptica,0,1,0,0,1,0,Mensual,0,Cheque electrónico,87.2,4017.45,2.864651773981603
106,0181-RITDD,0,Masculino,0,1,1,62,1,0,Fibra óptica,1,1,1,1,1,1,Bienal,0,Cheque,108.15,6825.65,3.5528909329829172
107,0186-CAERR,0,Masculino,0,0,0,71,1,1,Fibra óptica,1,1,1,1,1,1,Anual,1,Tranferencia electrónica,116.3,8309.55,3.8206307490144544
108,0187-QSXOE,0,Masculino,1,1,0,7,1,0,Fibra óptica,0,0,0,0,1,1,Mensual,1,Cheque electrónico,89.0,605.45,2.923784494086728
109,0187-WZNAB,0,Femenino,0,1,1,27,1,0,Fibra óptica,1,0,0,0,0,0,Mensual,0,Cheque,74.4,1972.35,2.4441524310118266
110,0188-GWFLE,0,Masculino,0,0,0,2,1,0,No,2,2,2,2,2,2,Mensual,0,Cheque,20.05,33.7,0.6586727989487516
111,0191-EQUUH,0,Femenino,0,0,1,25,0,2,DSL,1,0,0,1,0,0,Bienal,0,Tranferencia electrónica,35.05,844.45,1.1514454664914584
112,0191-ZHSKZ,0,Masculino,1,0,0,30,1,0,DSL,1,1,0,0,1,1,Mensual,1,Cheque electrónico,74.75,2111.3,2.455650459921156
113,0193-ESZXP,1,Femenino,1,1,0,58,1,0,Fibra óptica,1,1,0,1,1,1,Anual,1,TDC,105.5,6205.5,3.4658344283837055
114,0195-IESCP,1,Masculino,0,1,0,10,1,1,Fibra óptica,0,0,0,0,0,1,Mensual,1,Cheque electrónico,85.25,855.3,2.800591327201051
115,0196-JTUQI,0,Femenino,0,0,0,9,1,1,Fibra óptica,0,0,0,0,0,0,Mensual,1,TDC,75.2,633.85,2.4704336399474376
116,0196-VULGZ,1,Femenino,1,1,0,6,1,1,Fibra óptica,0,0,0,0,0,1,Mensual,1,Cheque electrónico,84.35,474.9,2.7710249671484886
117,0197-PNKNK,0,Femenino,0,1,1,69,1,1,Fibra óptica,1,0,1,0,0,0,Anual,0,Tranferencia electrónica,84.45,5848.6,2.7743101182654404
118,0201-MIBOL,0,Femenino,1,0,0,66,1,1,Fibra óptica,1,0,0,0,1,1,Bienal,1,Tranferencia electrónica,102.4,6471.85,3.3639947437582127
119,0201-OAMXR,1,Femenino,0,0,0,70,1,1,Fibra óptica,1,1,1,1,1,1,Anual,0,TDC,115.55,8127.6,3.795992115637319
120,0203-HHYIJ,1,Masculino,0,0,0,25,1,1,No,2,2,2,2,2,2,Anual,0,Tranferencia electrónica,25.3,676.35,0.831143232588699
121,0206-OYVOC,0,Femenino,0,1,1,46,1,0,No,2,2,2,2,2,2,Bienal,1,Cheque,19.25,864.2,0.6323915900131406
122,0206-TBWLC,0,Femenino,0,1,0,54,1,1,Fibra óptica,1,1,1,1,1,1,Anual,1,Cheque,114.65,6049.5,3.766425755584757
123,0207-MDKNV,1,Femenino,0,0,0,15,1,0,Fibra óptica,1,0,1,1,1,1,Mensual,0,Cheque electrónico,105.1,1582.75,3.4526938239159
124,0208-BPQEJ,0,Femenino,0,1,1,12,1,0,No,2,2,2,2,2,2,Mensual,0,Tranferencia electrónica,19.4,198.1,0.6373193166885676
125,0212-ISBBF,0,Femenino,0,0,0,22,0,2,DSL,0,1,0,0,1,1,Mensual,1,Cheque electrónico,50.35,1098.85,1.6540735873850196
126,0214-JHPFW,0,Femenino,0,1,0,70,0,2,DSL,0,1,1,1,1,1,Bienal,0,Tranferencia electrónica,57.8,4039.3,1.8988173455978974
127,0215-BQKGS,0,Masculino,0,0,0,30,1,0,Fibra óptica,1,1,1,0,0,0,Mensual,1,TDC,84.3,2438.6,2.769382391590013
128,0218-QNVAS,0,Masculino,0,1,1,71,1,1,Fibra óptica,0,1,0,0,1,1,Anual,0,Tranferencia electrónica,100.55,7113.75,3.303219448094612
129,0219-QAERP,0,Masculino,0,1,0,30,1,0,No,2,2,2,2,2,2,Anual,0,TDC,19.8,576.65,0.6504599211563732
130,0219-YTZUE,1,Masculino,0,1,1,4,1,1,Fibra óptica,0,1,1,0,0,0,Mensual,1,Tranferencia electrónica,84.8,371.9,2.78580814717477
131,0220-EBGCE,1,Masculino,0,0,0,2,1,0,Fibra óptica,0,0,1,0,0,1,Mensual,1,Cheque electrónico,85.85,167.3,2.8203022339027592
132,0221-NAUXK,0,Masculino,0,0,1,10,1,0,No,2,2,2,2,2,2,Anual,1,Tranferencia electrónica,19.95,219.5,0.6553876478318003
133,0221-WMXNQ,0,Masculino,1,0,0,4,1,0,Fibra óptica,1,0,0,0,0,0,Mensual,0,Cheque electrónico,75.35,273.4,2.4753613666228644
134,0222-CNVPT,0,Masculino,1,0,0,52,0,2,DSL,1,0,0,0,1,1,Mensual,1,TDC,48.8,2555.05,1.6031537450722733
135,0224-HJAPT,1,Masculino,0,0,0,5,1,1,DSL,0,0,0,0,0,0,Mensual,0,Cheque electrónico,47.15,223.15,1.5489487516425755
136,0224-NIJLP,0,Masculino,0,1,1,8,1,0,No,2,2,2,2,2,2,Bienal,0,Cheque,20.15,165.5,0.6619579500657029
137,0224-RLWWD,0,Femenino,1,0,0,2,1,0,DSL,0,0,0,0,0,0,Mensual,1,Cheque electrónico,44.3,89.3,1.455321944809461
138,0225-ZORZP,0,Masculino,0,0,0,3,1,0,Fibra óptica,0,1,0,0,0,1,Mensual,0,Cheque electrónico,84.3,235.05,2.769382391590013
139,0228-MAUWC,0,Masculino,0,0,0,19,1,1,DSL,0,0,1,1,0,0,Mensual,0,Cheque electrónico,59.55,1144.6,1.9563074901445465
140,0229-LFJAF,0,Masculino,0,0,0,72,1,1,DSL,1,1,1,1,0,0,Bienal,0,Tranferencia electrónica,69.65,4908.25,2.2881077529566363
141,0230-UBYPQ,0,Masculino,1,1,0,63,0,2,DSL,1,0,0,1,0,0,Anual,0,Tranferencia electrónica,36.1,2298.9,1.185939553219448
142,0230-WEQUW,0,Masculino,0,1,0,66,0,2,DSL,1,1,1,1,1,0,Bienal,1,Tranferencia electrónica,56.6,3789.2,1.8593955321944808
143,0231-LXVAP,1,Masculino,0,0,0,1,1,0,Fibra óptica,0,0,0,1,0,0,Mensual,1,Cheque electrónico,75.9,75.9,2.4934296977660972
144,0233-FTHAV,0,Femenino,0,0,0,60,1,1,Fibra óptica,0,0,1,0,0,0,Anual,1,Tranferencia electrónica,79.2,4765.0,2.6018396846254928
145,0234-TEVTT,0,Femenino,0,1,1,48,0,2,DSL,1,0,1,0,0,1,Anual,0,TDC,45.0,2196.3,1.4783180026281209
146,0235-KGSLC,1,Femenino,0,0,0,1,1,0,Fibra óptica,0,0,1,0,1,0,Mensual,1,TDC,85.55,85.55,2.810446780551905
147,0236-HFWSV,1,Masculino,0,0,0,15,1,1,Fibra óptica,0,0,0,0,1,1,Mensual,1,Cheque electrónico,93.35,1444.65,3.0666885676741127
148,0237-YFUTL,0,Femenino,0,1,0,50,1,1,Fibra óptica,1,1,0,1,1,1,Mensual,1,Tranferencia electrónica,109.65,5405.8,3.602168199737188
149,0238-WHBIQ,0,Masculino,0,1,1,72,1,1,DSL,1,1,1,1,1,1,Bienal,0,TDC,89.7,6339.3,2.9467805519053876
150,0239-OXEXL,0,Femenino,0,0,0,46,1,1,Fibra óptica,1,1,0,0,0,0,Mensual,0,Cheque,84.25,3847.6,2.767739816031537
151,0244-LGNFY,0,Femenino,0,1,1,72,1,1,DSL,1,1,1,1,1,1,Bienal,0,Tranferencia electrónica,92.65,6733.0,3.0436925098554535
152,0247-SLUJI,0,Masculino,0,1,1,1,1,0,No,2,2,2,2,2,2,Mensual,0,Cheque,19.7,19.7,0.6471747700394218
153,0248-IPDFW,0,Femenino,0,0,0,1,1,1,DSL,0,0,0,0,0,0,Mensual,1,Cheque electrónico,50.1,50.1,1.6458607095926412
154,0248-PGHBZ,0,Femenino,1,0,0,67,1,0,Fibra óptica,1,1,0,1,1,0,Bienal,1,Tranferencia electrónica,92.45,6140.85,3.0371222076215507
155,0253-ZTEOB,0,Femenino,0,1,1,48,1,1,DSL,0,1,0,1,1,1,Bienal,0,Cheque electrónico,79.65,3870.3,2.616622864651774
156,0254-FNMCI,0,Femenino,0,0,0,72,1,0,Fibra óptica,1,1,1,1,1,1,Bienal,1,Cheque electrónico,109.9,7624.2,3.6103810775295666
157,0254-KCJGT,0,Masculino,0,1,0,52,1,1,DSL,1,1,1,1,0,1,Anual,1,TDC,81.4,4354.45,2.674113009198423
158,0254-WWRKD,0,Femenino,0,1,1,67,1,0,DSL,0,1,0,0,0,0,Anual,0,TDC,50.55,3431.75,1.6606438896189224
159,0256-LTHVJ,1,Femenino,0,1,1,28,1,0,Fibra óptica,0,0,0,0,0,1,Mensual,1,Cheque electrónico,81.05,2227.1,2.662614980289093
160,0257-KXZGU,0,Femenino,0,1,1,32,1,1,DSL,0,1,1,0,0,0,Mensual,0,Tranferencia electrónica,62.45,2045.55,2.0515768725361365
161,0257-ZESQC,1,Femenino,1,1,0,27,1,0,Fibra óptica,1,0,0,0,0,0,Mensual,1,Tranferencia electrónica,75.2,1929.35,2.4704336399474376
162,0258-NOKBL,0,Masculino,0,0,0,3,1,0,Fibra óptica,0,1,1,0,0,1,Mensual,0,Cheque electrónico,90.4,268.45,2.9697766097240472
163,0259-GBZSH,1,Masculino,0,0,0,2,1,1,Fibra óptica,0,0,0,0,1,0,Mensual,1,Cheque electrónico,85.65,181.5,2.813731931668857
164,0260-ZDLGK,1,Femenino,0,0,1,9,1,0,DSL,0,0,1,1,1,1,Mensual,1,Cheque,72.9,651.4,2.394875164257556
165,0263-FJTQO,0,Masculino,0,1,1,50,1,1,DSL,1,0,0,1,1,0,Bienal,1,TDC,70.5,3486.65,2.3160315374507228
166,0264-CNITK,0,Femenino,0,1,1,71,1,0,No,2,2,2,2,2,2,Bienal,0,Tranferencia electrónica,20.1,1389.6,0.6603153745072273
167,0265-EDXBD,1,Masculino,1,1,0,32,1,1,Fibra óptica,0,0,0,0,0,0,Mensual,1,Cheque electrónico,74.9,2303.35,2.4605781865965834
168,0265-PSUAE,0,Femenino,0,1,1,16,1,0,Fibra óptica,1,0,1,0,1,1,Mensual,0,Tranferencia electrónica,100.7,1522.7,3.3081471747700393
169,0266-CLZKZ,0,Femenino,0,1,1,67,1,1,Fibra óptica,0,0,1,1,1,1,Bienal,1,Tranferencia electrónica,105.65,6717.9,3.4707621550591328
170,0266-GMEAO,0,Masculino,0,1,1,72,1,1,Fibra óptica,1,1,1,1,1,1,Bienal,1,TDC,114.3,8058.55,3.754927726675427
171,0268-QKIWO,1,Femenino,0,0,0,3,1,0,No,2,2,2,2,2,2,Mensual,0,Cheque electrónico,19.75,58.85,0.6488173455978975
172,0269-XFESX,0,Masculino,0,1,1,23,1,1,No,2,2,2,2,2,2,Anual,0,Cheque,24.35,538.5,0.7999342969776609
173,0270-THENM,0,Masculino,0,1,1,72,1,1,DSL,1,1,1,1,0,0,Bienal,0,Tranferencia electrónica,69.85,5102.35,2.2946780551905386
174,0274-JKUJR,0,Masculino,0,1,1,7,0,2,DSL,1,1,1,0,1,1,Mensual,0,Cheque,58.85,465.7,1.9333114323258869
